image1,image2,img1_path,img2_path,img1_items,img2_items
"('pink', 'prism', 'orange', 'pyramid')","('orange', 'prism', 'pink', 'pyramid')",images/pink_prism_orange_pyramid.png,images/orange_prism_pink_pyramid.png,"('j', 'l')","('m', 'd')"
"('azure', 'pyramid', 'gold', 'torus')","('gold', 'pyramid', 'azure', 'torus')",images/azure_pyramid_gold_torus.png,images/gold_pyramid_azure_torus.png,"('i', 's')","('v', 'c')"
"('pink', 'torus', 'gold', 'pyramid')","('gold', 'torus', 'pink', 'pyramid')",images/pink_torus_gold_pyramid.png,images/gold_torus_pink_pyramid.png,"('k', 'x')","('l', 'r')"
"('lime', 'torus', 'azure', 'pyramid')","('azure', 'torus', 'lime', 'pyramid')",images/lime_torus_azure_pyramid.png,images/azure_torus_lime_pyramid.png,"('r', 'u')","('p', 'j')"
"('gold', 'prism', 'pink', 'torus')","('pink', 'prism', 'gold', 'torus')",images/gold_prism_pink_torus.png,images/pink_prism_gold_torus.png,"('g', 'b')","('x', 'z')"
"('gold', 'pyramid', 'pink', 'pyramid')","('pink', 'pyramid', 'gold', 'pyramid')",images/gold_pyramid_pink_pyramid.png,images/pink_pyramid_gold_pyramid.png,"('z', 'b')","('i', 's')"
"('brown', 'torus', 'gold', 'pyramid')","('gold', 'torus', 'brown', 'pyramid')",images/brown_torus_gold_pyramid.png,images/gold_torus_brown_pyramid.png,"('s', 'q')","('h', 'm')"
"('orange', 'pyramid', 'azure', 'pyramid')","('azure', 'pyramid', 'orange', 'pyramid')",images/orange_pyramid_azure_pyramid.png,images/azure_pyramid_orange_pyramid.png,"('c', 'p')","('i', 'a')"
"('orange', 'pyramid', 'pink', 'prism')","('pink', 'pyramid', 'orange', 'prism')",images/orange_pyramid_pink_prism.png,images/pink_pyramid_orange_prism.png,"('p', 'c')","('k', 'r')"
"('brown', 'pyramid', 'pink', 'torus')","('pink', 'pyramid', 'brown', 'torus')",images/brown_pyramid_pink_torus.png,images/pink_pyramid_brown_torus.png,"('t', 'p')","('z', 'w')"
"('pink', 'prism', 'gold', 'pyramid')","('gold', 'prism', 'pink', 'pyramid')",images/pink_prism_gold_pyramid.png,images/gold_prism_pink_pyramid.png,"('d', 'h')","('f', 'm')"
"('azure', 'torus', 'orange', 'prism')","('orange', 'torus', 'azure', 'prism')",images/azure_torus_orange_prism.png,images/orange_torus_azure_prism.png,"('w', 'b')","('g', 'i')"
"('brown', 'pyramid', 'orange', 'pyramid')","('orange', 'pyramid', 'brown', 'pyramid')",images/brown_pyramid_orange_pyramid.png,images/orange_pyramid_brown_pyramid.png,"('k', 'a')","('s', 'j')"
"('brown', 'pyramid', 'lime', 'prism')","('lime', 'pyramid', 'brown', 'prism')",images/brown_pyramid_lime_prism.png,images/lime_pyramid_brown_prism.png,"('s', 'b')","('o', 'z')"
"('brown', 'prism', 'orange', 'pyramid')","('orange', 'prism', 'brown', 'pyramid')",images/brown_prism_orange_pyramid.png,images/orange_prism_brown_pyramid.png,"('q', 'e')","('x', 'u')"
"('lime', 'torus', 'brown', 'prism')","('brown', 'torus', 'lime', 'prism')",images/lime_torus_brown_prism.png,images/brown_torus_lime_prism.png,"('j', 'z')","('l', 'e')"
"('brown', 'pyramid', 'azure', 'torus')","('azure', 'pyramid', 'brown', 'torus')",images/brown_pyramid_azure_torus.png,images/azure_pyramid_brown_torus.png,"('u', 'z')","('o', 'm')"
"('orange', 'torus', 'azure', 'pyramid')","('azure', 'torus', 'orange', 'pyramid')",images/orange_torus_azure_pyramid.png,images/azure_torus_orange_pyramid.png,"('a', 'm')","('e', 'o')"
"('azure', 'pyramid', 'brown', 'torus')","('brown', 'pyramid', 'azure', 'torus')",images/azure_pyramid_brown_torus.png,images/brown_pyramid_azure_torus.png,"('m', 'h')","('b', 'v')"
"('azure', 'prism', 'orange', 'pyramid')","('orange', 'prism', 'azure', 'pyramid')",images/azure_prism_orange_pyramid.png,images/orange_prism_azure_pyramid.png,"('g', 'c')","('l', 's')"
"('orange', 'pyramid', 'lime', 'prism')","('lime', 'pyramid', 'orange', 'prism')",images/orange_pyramid_lime_prism.png,images/lime_pyramid_orange_prism.png,"('w', 'p')","('d', 'x')"
"('gold', 'pyramid', 'azure', 'prism')","('azure', 'pyramid', 'gold', 'prism')",images/gold_pyramid_azure_prism.png,images/azure_pyramid_gold_prism.png,"('h', 'z')","('r', 'g')"
"('lime', 'prism', 'pink', 'torus')","('pink', 'prism', 'lime', 'torus')",images/lime_prism_pink_torus.png,images/pink_prism_lime_torus.png,"('v', 'w')","('x', 'm')"
"('lime', 'pyramid', 'orange', 'pyramid')","('orange', 'pyramid', 'lime', 'pyramid')",images/lime_pyramid_orange_pyramid.png,images/orange_pyramid_lime_pyramid.png,"('n', 't')","('k', 'b')"
"('lime', 'prism', 'gold', 'pyramid')","('gold', 'prism', 'lime', 'pyramid')",images/lime_prism_gold_pyramid.png,images/gold_prism_lime_pyramid.png,"('x', 'k')","('o', 'q')"
