image1,image2,img1_path,img2_path,img1_items,img2_items
"('purple', 'cone', 'yellow', 'cube')","('cyan', 'cylinder', 'red', 'sphere')",images/purple_cone_yellow_cube.png,images/cyan_cylinder_red_sphere.png,"('J', 'L')","('M', 'D')"
"('purple', 'sphere', 'red', 'cylinder')","('yellow', 'cone', 'blue', 'cube')",images/purple_sphere_red_cylinder.png,images/yellow_cone_blue_cube.png,"('I', 'S')","('V', 'C')"
"('purple', 'cylinder', 'cyan', 'sphere')","('yellow', 'cube', 'red', 'cone')",images/purple_cylinder_cyan_sphere.png,images/yellow_cube_red_cone.png,"('K', 'X')","('L', 'R')"
"('cyan', 'cylinder', 'red', 'cone')","('blue', 'cube', 'green', 'sphere')",images/cyan_cylinder_red_cone.png,images/blue_cube_green_sphere.png,"('R', 'U')","('P', 'J')"
"('blue', 'cone', 'green', 'sphere')","('red', 'cylinder', 'yellow', 'cube')",images/blue_cone_green_sphere.png,images/red_cylinder_yellow_cube.png,"('G', 'B')","('X', 'Z')"
"('blue', 'cube', 'cyan', 'cylinder')","('red', 'sphere', 'yellow', 'cone')",images/blue_cube_cyan_cylinder.png,images/red_sphere_yellow_cone.png,"('Z', 'B')","('I', 'S')"
"('red', 'cone', 'cyan', 'cylinder')","('yellow', 'cube', 'purple', 'sphere')",images/red_cone_cyan_cylinder.png,images/yellow_cube_purple_sphere.png,"('S', 'Q')","('H', 'M')"
"('purple', 'cube', 'yellow', 'cylinder')","('blue', 'cone', 'cyan', 'sphere')",images/purple_cube_yellow_cylinder.png,images/blue_cone_cyan_sphere.png,"('C', 'P')","('I', 'A')"
"('blue', 'cone', 'yellow', 'cube')","('red', 'sphere', 'cyan', 'cylinder')",images/blue_cone_yellow_cube.png,images/red_sphere_cyan_cylinder.png,"('P', 'C')","('K', 'R')"
"('cyan', 'cone', 'blue', 'cylinder')","('red', 'sphere', 'purple', 'cube')",images/cyan_cone_blue_cylinder.png,images/red_sphere_purple_cube.png,"('T', 'P')","('Z', 'W')"
"('blue', 'sphere', 'green', 'cube')","('yellow', 'cylinder', 'red', 'cone')",images/blue_sphere_green_cube.png,images/yellow_cylinder_red_cone.png,"('D', 'H')","('F', 'M')"
"('green', 'cone', 'yellow', 'sphere')","('cyan', 'cube', 'blue', 'cylinder')",images/green_cone_yellow_sphere.png,images/cyan_cube_blue_cylinder.png,"('W', 'B')","('G', 'I')"
"('yellow', 'cylinder', 'red', 'cube')","('cyan', 'cone', 'purple', 'sphere')",images/yellow_cylinder_red_cube.png,images/cyan_cone_purple_sphere.png,"('K', 'A')","('S', 'J')"
"('cyan', 'cube', 'red', 'sphere')","('green', 'cone', 'purple', 'cylinder')",images/cyan_cube_red_sphere.png,images/green_cone_purple_cylinder.png,"('S', 'B')","('O', 'Z')"
"('blue', 'cube', 'red', 'cone')","('cyan', 'cylinder', 'purple', 'sphere')",images/blue_cube_red_cone.png,images/cyan_cylinder_purple_sphere.png,"('Q', 'E')","('X', 'U')"
"('red', 'sphere', 'yellow', 'cone')","('purple', 'cube', 'green', 'cylinder')",images/red_sphere_yellow_cone.png,images/purple_cube_green_cylinder.png,"('J', 'Z')","('L', 'E')"
"('yellow', 'cylinder', 'cyan', 'cone')","('blue', 'sphere', 'purple', 'cube')",images/yellow_cylinder_cyan_cone.png,images/blue_sphere_purple_cube.png,"('U', 'Z')","('O', 'M')"
"('purple', 'sphere', 'green', 'cylinder')","('blue', 'cube', 'cyan', 'cone')",images/purple_sphere_green_cylinder.png,images/blue_cube_cyan_cone.png,"('A', 'M')","('E', 'O')"
"('cyan', 'cylinder', 'yellow', 'sphere')","('purple', 'cone', 'blue', 'cube')",images/cyan_cylinder_yellow_sphere.png,images/purple_cone_blue_cube.png,"('M', 'H')","('B', 'V')"
"('yellow', 'cube', 'purple', 'sphere')","('cyan', 'cylinder', 'blue', 'cone')",images/yellow_cube_purple_sphere.png,images/cyan_cylinder_blue_cone.png,"('G', 'C')","('L', 'S')"
"('red', 'cube', 'purple', 'cone')","('green', 'sphere', 'cyan', 'cylinder')",images/red_cube_purple_cone.png,images/green_sphere_cyan_cylinder.png,"('W', 'P')","('D', 'X')"
"('green', 'sphere', 'red', 'cube')","('blue', 'cone', 'yellow', 'cylinder')",images/green_sphere_red_cube.png,images/blue_cone_yellow_cylinder.png,"('H', 'Z')","('R', 'G')"
"('yellow', 'sphere', 'cyan', 'cone')","('red', 'cylinder', 'green', 'cube')",images/yellow_sphere_cyan_cone.png,images/red_cylinder_green_cube.png,"('V', 'W')","('X', 'M')"
"('purple', 'cylinder', 'red', 'cube')","('cyan', 'sphere', 'green', 'cone')",images/purple_cylinder_red_cube.png,images/cyan_sphere_green_cone.png,"('N', 'T')","('K', 'B')"
"('red', 'cone', 'purple', 'cube')","('yellow', 'cylinder', 'green', 'sphere')",images/red_cone_purple_cube.png,images/yellow_cylinder_green_sphere.png,"('X', 'K')","('O', 'Q')"
"('green', 'sphere', 'red', 'cylinder')","('cyan', 'cone', 'yellow', 'cube')",images/green_sphere_red_cylinder.png,images/cyan_cone_yellow_cube.png,"('V', 'L')","('S', 'I')"
"('green', 'cylinder', 'red', 'sphere')","('yellow', 'cube', 'blue', 'cone')",images/green_cylinder_red_sphere.png,images/yellow_cube_blue_cone.png,"('E', 'H')","('L', 'M')"
"('blue', 'cylinder', 'yellow', 'cone')","('cyan', 'cube', 'green', 'sphere')",images/blue_cylinder_yellow_cone.png,images/cyan_cube_green_sphere.png,"('L', 'S')","('I', 'W')"
"('yellow', 'cone', 'purple', 'sphere')","('red', 'cylinder', 'cyan', 'cube')",images/yellow_cone_purple_sphere.png,images/red_cylinder_cyan_cube.png,"('B', 'X')","('D', 'J')"
"('cyan', 'cube', 'purple', 'cylinder')","('red', 'sphere', 'blue', 'cone')",images/cyan_cube_purple_cylinder.png,images/red_sphere_blue_cone.png,"('P', 'C')","('R', 'W')"
