image1,image2,img1_path,img2_path,img1_items,img2_items
"('brown', 'pyramid', 'gold', 'torus')","('orange', 'prism', 'pink', 'pyramid')",images/brown_pyramid_gold_torus.png,images/orange_prism_pink_pyramid.png,"('j', 'l')","('m', 'd')"
"('brown', 'pyramid', 'pink', 'prism')","('gold', 'pyramid', 'azure', 'torus')",images/brown_pyramid_pink_prism.png,images/gold_pyramid_azure_torus.png,"('i', 's')","('v', 'c')"
"('brown', 'prism', 'orange', 'pyramid')","('gold', 'torus', 'pink', 'pyramid')",images/brown_prism_orange_pyramid.png,images/gold_torus_pink_pyramid.png,"('k', 'x')","('l', 'r')"
"('orange', 'prism', 'pink', 'pyramid')","('azure', 'torus', 'lime', 'pyramid')",images/orange_prism_pink_pyramid.png,images/azure_torus_lime_pyramid.png,"('r', 'u')","('p', 'j')"
"('azure', 'pyramid', 'lime', 'pyramid')","('pink', 'prism', 'gold', 'torus')",images/azure_pyramid_lime_pyramid.png,images/pink_prism_gold_torus.png,"('g', 'b')","('x', 'z')"
"('azure', 'torus', 'orange', 'prism')","('pink', 'pyramid', 'gold', 'pyramid')",images/azure_torus_orange_prism.png,images/pink_pyramid_gold_pyramid.png,"('z', 'b')","('i', 's')"
"('pink', 'pyramid', 'orange', 'prism')","('gold', 'torus', 'brown', 'pyramid')",images/pink_pyramid_orange_prism.png,images/gold_torus_brown_pyramid.png,"('s', 'q')","('h', 'm')"
"('brown', 'torus', 'gold', 'prism')","('azure', 'pyramid', 'orange', 'pyramid')",images/brown_torus_gold_prism.png,images/azure_pyramid_orange_pyramid.png,"('c', 'p')","('i', 'a')"
"('azure', 'pyramid', 'gold', 'torus')","('pink', 'pyramid', 'orange', 'prism')",images/azure_pyramid_gold_torus.png,images/pink_pyramid_orange_prism.png,"('p', 'c')","('k', 'r')"
"('orange', 'pyramid', 'azure', 'prism')","('pink', 'pyramid', 'brown', 'torus')",images/orange_pyramid_azure_prism.png,images/pink_pyramid_brown_torus.png,"('t', 'p')","('z', 'w')"
"('azure', 'pyramid', 'lime', 'torus')","('gold', 'prism', 'pink', 'pyramid')",images/azure_pyramid_lime_torus.png,images/gold_prism_pink_pyramid.png,"('d', 'h')","('f', 'm')"
"('lime', 'pyramid', 'gold', 'pyramid')","('orange', 'torus', 'azure', 'prism')",images/lime_pyramid_gold_pyramid.png,images/orange_torus_azure_prism.png,"('w', 'b')","('g', 'i')"
