image1,image2,img1_path,img2_path,img1_items,img2_items
"('pink', 'pyramid', 'orange', 'prism')","('orange', 'prism', 'pink', 'pyramid')",images/pink_pyramid_orange_prism.png,images/orange_prism_pink_pyramid.png,"('j', 'l')","('m', 'd')"
"('azure', 'torus', 'gold', 'pyramid')","('gold', 'pyramid', 'azure', 'torus')",images/azure_torus_gold_pyramid.png,images/gold_pyramid_azure_torus.png,"('i', 's')","('v', 'c')"
"('pink', 'pyramid', 'gold', 'torus')","('gold', 'torus', 'pink', 'pyramid')",images/pink_pyramid_gold_torus.png,images/gold_torus_pink_pyramid.png,"('k', 'x')","('l', 'r')"
"('lime', 'pyramid', 'azure', 'torus')","('azure', 'torus', 'lime', 'pyramid')",images/lime_pyramid_azure_torus.png,images/azure_torus_lime_pyramid.png,"('r', 'u')","('p', 'j')"
"('gold', 'torus', 'pink', 'prism')","('pink', 'prism', 'gold', 'torus')",images/gold_torus_pink_prism.png,images/pink_prism_gold_torus.png,"('g', 'b')","('x', 'z')"
"('gold', 'pyramid', 'pink', 'pyramid')","('pink', 'pyramid', 'gold', 'pyramid')",images/gold_pyramid_pink_pyramid.png,images/pink_pyramid_gold_pyramid.png,"('z', 'b')","('i', 's')"
"('brown', 'pyramid', 'gold', 'torus')","('gold', 'torus', 'brown', 'pyramid')",images/brown_pyramid_gold_torus.png,images/gold_torus_brown_pyramid.png,"('s', 'q')","('h', 'm')"
"('orange', 'pyramid', 'azure', 'pyramid')","('azure', 'pyramid', 'orange', 'pyramid')",images/orange_pyramid_azure_pyramid.png,images/azure_pyramid_orange_pyramid.png,"('c', 'p')","('i', 'a')"
"('orange', 'prism', 'pink', 'pyramid')","('pink', 'pyramid', 'orange', 'prism')",images/orange_prism_pink_pyramid.png,images/pink_pyramid_orange_prism.png,"('p', 'c')","('k', 'r')"
"('brown', 'torus', 'pink', 'pyramid')","('pink', 'pyramid', 'brown', 'torus')",images/brown_torus_pink_pyramid.png,images/pink_pyramid_brown_torus.png,"('t', 'p')","('z', 'w')"
"('pink', 'pyramid', 'gold', 'prism')","('gold', 'prism', 'pink', 'pyramid')",images/pink_pyramid_gold_prism.png,images/gold_prism_pink_pyramid.png,"('d', 'h')","('f', 'm')"
"('azure', 'prism', 'orange', 'torus')","('orange', 'torus', 'azure', 'prism')",images/azure_prism_orange_torus.png,images/orange_torus_azure_prism.png,"('w', 'b')","('g', 'i')"
"('brown', 'pyramid', 'orange', 'pyramid')","('orange', 'pyramid', 'brown', 'pyramid')",images/brown_pyramid_orange_pyramid.png,images/orange_pyramid_brown_pyramid.png,"('k', 'a')","('s', 'j')"
